,,,,,,,,
Theme: Industry,,,,,,,,
Subject: Transport,,,,,,,,
Topic: Land Transport (including MRT and LRT),,,,,,,,
"Table Title: Motor Vehicle Population Under Vehicle Quota System, (As At End Of Period), Monthly",,,,,,,,
,,,,,,,,
Data last updated: 26/01/2026,,,,,,,,
Source: LAND TRANSPORT AUTHORITY,,,,,,,,
,,,,,,,,
Data Series,Total Motor Vehicles (Number),Total Motor Vehicles -> Category A: Cars (Number),Total Motor Vehicles -> Category B: Cars (Number),Total Motor Vehicles -> Weekend Cars/Off Peak Cars (Number),Total Motor Vehicles -> Category C: Goods Vehicles & Buses (Number),Total Motor Vehicles -> Category D: Motorcycles & Scooters (Number),Total Motor Vehicles -> Taxis (Number),Total Motor Vehicles -> Vehicles Exempted From VQS (Number)
  2002 May,704668,273050,131347,na,132702,129462,19047,19060
  2002 Apr,704734,273428,131066,na,132924,129342,18922,19052
  2002 Mar,706177,274036,130955,na,132932,130311,18875,19068
  2002 Feb,707986,275044,130924,na,133222,130823,18863,19110
  2002 Jan,708771,275860,130505,na,133585,130923,18831,19067
  2001 Dec,708370,275302,130225,na,133897,130978,18798,19170
  2001 Nov,709047,275875,130199,na,134153,130943,18756,19121
  2001 Oct,709810,276509,130238,na,134391,130783,18790,19099
  2001 Sep,712979,278731,130892,na,134683,130761,18807,19105
  2001 Aug,712591,278144,130530,na,134986,131016,18825,19090
  2001 Jul,710753,276374,130110,na,135407,131138,18627,19097
  2001 Jun,708969,275008,129835,na,135528,130947,18656,18995
  2001 May,706868,273739,128981,na,135426,131086,18639,18997
  2001 Apr,705974,273307,128445,na,135202,131264,18681,19075
  2001 Mar,704421,272780,127796,na,134597,131507,18679,19062
  2001 Feb,700233,271099,126622,na,133215,131604,18538,19155
  2001 Jan,696893,270157,125949,na,132039,131268,18440,19040
  2000 Dec,692807,268390,124790,na,131274,131070,18327,18956
  2000 Nov,688008,267083,123627,na,129453,131046,18027,18772
  2000 Oct,683949,265697,122221,na,128168,130925,18187,18751
  2000 Sep,680125,264431,121446,na,126620,130899,18019,18710
  2000 Aug,676931,262313,120211,na,124364,133353,18000,18690
  2000 Jul,672835,261872,119412,na,121600,133368,17961,18622
  2000 Jun,684287,270216,119108,na,124478,133869,17977,18639
  2000 May,692958,270917,118305,na,133135,133943,18086,18572
  2000 Apr,691360,270073,117295,na,133574,133884,17988,18546
  2000 Mar,690858,269601,116414,na,134400,133825,18063,18555
  2000 Feb,690033,269489,115667,na,134741,133670,17989,18477
  2000 Jan,690350,269866,115321,na,135131,133497,18054,18481
